Date,AAPL,AMZN,MSFT,NVDA,SP500,TSLA
2021-09-28,141.91,165.798,283.52,20.699,4352.6,259.1866
2021-09-29,142.83,165.056,284.0,20.517,4359.5,260.4366
2021-09-30,141.5,164.252,281.92,20.716,4307.5,258.4933
2021-10-01,142.65,164.163,289.1,20.742,4357.0,258.4066
2021-10-04,139.14,159.489,283.11,19.732,4300.5,260.51
2021-10-05,141.11,161.05,288.76,20.451,4345.7,260.1966
2021-10-06,142.0,163.1005,293.11,20.7,4363.6,260.9166
2021-10-07,143.29,165.1215,294.85,21.075,4399.8,264.5366
2021-10-08,142.9,164.431,294.85,20.831,4391.3,261.83
2021-10-11,142.81,162.315,294.23,20.695,4361.2,263.98
2021-10-12,141.51,162.3665,292.88,20.671,4350.6,268.5733
2021-10-13,140.91,164.214,296.31,20.939,4363.8,270.36
2021-10-14,143.76,164.993,302.75,21.746,4438.3,272.7733
2021-10-15,144.84,170.451,304.21,21.862,4471.4,281.01
2021-10-18,146.55,172.337,307.29,22.222,4486.5,290.0366
2021-10-19,148.76,172.2075,308.23,22.29,4519.6,288.09
2021-10-20,149.26,170.753,307.41,22.103,4536.2,288.6
2021-10-21,149.48,171.7505,310.76,22.692,4549.8,298.0
2021-10-22,148.69,166.7775,309.16,22.726,4544.9,303.2266
2021-10-25,148.64,166.0185,308.13,23.166,4566.5,341.62
2021-10-26,149.32,168.8035,310.11,24.717,4574.8,339.4766
2021-10-27,148.85,169.6245,323.17,24.451,4551.7,345.9533
2021-10-28,152.57,172.3285,324.35,24.941,4596.4,359.0133
2021-10-29,149.8,168.6215,331.62,25.567,4605.4,371.3333
2021-11-01,148.96,165.9055,329.37,25.827,4613.7,402.8633
2021-11-02,150.02,165.6375,333.13,26.401,4630.6,390.6666
2021-11-03,151.49,169.2,334.0,26.598,4660.6,404.62
2021-11-04,150.96,173.85,336.44,29.801,4680.1,409.97
2021-11-05,151.28,175.9495,336.06,29.752,4697.5,407.3633
2021-11-08,150.44,174.449,336.99,30.804,4701.7,387.6466
2021-11-09,150.81,178.8115,335.95,30.657,4685.2,341.1666
2021-11-10,147.92,174.1025,330.8,29.459,4646.7,355.9833
2021-11-11,147.87,173.625,332.43,30.39,4649.3,354.5033
2021-11-12,149.99,176.2575,336.72,30.39,4682.9,344.4733
2021-11-15,150.0,177.284,336.07,30.025,4682.8,337.7966
2021-11-16,151.0,177.035,339.51,30.203,4700.9,351.5766
2021-11-17,153.49,177.45,339.12,29.261,4688.7,363.0033
2021-11-18,157.87,184.803,341.27,31.675,4704.5,365.46
2021-11-19,160.55,183.8285,343.11,32.985,4698.0,379.02
2021-11-22,161.02,178.6285,339.83,31.956,4682.9,385.6233
2021-11-23,161.41,179.002,337.68,31.746,4690.7,369.6766
2021-11-24,161.94,179.0205,337.91,32.674,4701.5,372.0
2021-11-26,156.81,175.228,329.68,31.503,4594.6,360.64
2021-11-29,160.24,178.0785,336.63,33.376,4655.3,378.9966
2021-11-30,165.3,175.3535,330.59,32.676,4567.0,381.5866
2021-12-01,164.77,172.186,330.08,31.435,4513.0,365.0
2021-12-02,163.76,171.868,329.49,32.126,4577.1,361.5333
2021-12-03,161.84,169.4895,323.01,30.693,4538.4,338.3233
2021-12-06,165.32,171.3685,326.19,30.037,4591.7,336.3366
2021-12-07,171.18,176.1645,334.92,32.427,4686.8,350.5833
2021-12-08,175.08,176.158,334.97,31.826,4701.2,356.32
2021-12-09,174.56,174.171,333.1,30.49,4667.4,334.6
2021-12-10,179.45,172.212,342.54,30.198,4712.0,339.01
2021-12-13,175.74,169.5675,339.4,28.161,4669.0,322.1366
2021-12-14,174.33,169.0915,328.34,28.337,4634.1,319.5033
2021-12-15,179.3,173.315,334.65,30.459,4709.9,325.33
2021-12-16,172.26,168.871,324.9,28.387,4668.7,308.9733
2021-12-17,171.14,170.0175,323.8,27.801,4620.6,310.8566
2021-12-20,169.75,167.079,319.91,27.719,4568.0,299.98
2021-12-21,172.99,170.417,327.29,29.075,4649.2,312.8433
